2021/05/06 04:57:15 [INFO] Watching metadata for management.cattle.io/v3, Kind=MultiClusterApp
2021/05/06 04:57:15 [INFO] Watching metadata for management.cattle.io/v3, Kind=NodePool
2021/05/06 04:57:15 [INFO] Watching metadata for management.cattle.io/v3, Kind=DynamicSchema
2021/05/06 04:57:15 [INFO] Watching metadata for project.cattle.io/v3, Kind=Pipeline
2021/05/06 04:57:15 [INFO] Watching metadata for management.cattle.io/v3, Kind=ClusterRegistrationToken
2021/05/06 04:57:15 [INFO] Watching metadata for management.cattle.io/v3, Kind=ClusterAlertRule
2021/05/06 04:57:15 [INFO] Watching metadata for project.cattle.io/v3, Kind=PipelineExecution
2021/05/06 04:57:15 [INFO] Watching metadata for management.cattle.io/v3, Kind=ProjectRoleTemplateBinding
2021/05/06 04:57:15 [INFO] Watching metadata for management.cattle.io/v3, Kind=ClusterAlertGroup
2021/05/06 04:57:15 [INFO] Watching metadata for management.cattle.io/v3, Kind=ClusterScan
2021/05/06 04:57:15 [INFO] Watching metadata for management.cattle.io/v3, Kind=RoleTemplate
2021/05/06 04:57:15 [INFO] Watching metadata for management.cattle.io/v3, Kind=ProjectAlert
2021/05/06 04:57:15 [INFO] Watching metadata for management.cattle.io/v3, Kind=Notifier
2021/05/06 04:57:15 [INFO] Watching metadata for certificates.k8s.io/v1beta1, Kind=CertificateSigningRequest
2021/05/06 04:57:15 [INFO] Watching metadata for management.cattle.io/v3, Kind=NotificationTemplate
2021/05/06 04:57:15 [INFO] Watching metadata for management.cattle.io/v3, Kind=User
2021/05/06 04:57:15 [INFO] Watching metadata for batch/v1beta1, Kind=CronJob
2021/05/06 04:57:15 [INFO] Watching metadata for project.cattle.io/v3, Kind=SourceCodeProviderConfig
2021/05/06 04:57:15 [INFO] Watching metadata for k3s.cattle.io/v1, Kind=Addon
2021/05/06 04:57:15 [INFO] Watching metadata for management.cattle.io/v3, Kind=SamlToken
2021/05/06 04:57:15 [INFO] Watching metadata for apps/v1, Kind=StatefulSet
2021/05/06 04:57:15 [INFO] Watching metadata for management.cattle.io/v3, Kind=GlobalDnsProvider
2021/05/06 04:57:15 [INFO] Watching metadata for management.cattle.io/v3, Kind=CatalogTemplate
2021/05/06 04:57:15 [INFO] Watching metadata for management.cattle.io/v3, Kind=Cluster
2021/05/06 04:57:15 [INFO] Watching metadata for management.cattle.io/v3, Kind=ProjectAlertRule
2021/05/06 04:57:15 [INFO] Watching metadata for management.cattle.io/v3, Kind=GlobalRole
2021/05/06 04:57:15 [INFO] Watching metadata for management.cattle.io/v3, Kind=Preference
2021/05/06 04:57:15 [INFO] Watching metadata for management.cattle.io/v3, Kind=PodSecurityPolicyTemplateProjectBinding
2021/05/06 04:57:15 [INFO] Watching metadata for helm.cattle.io/v1, Kind=HelmChart
2021/05/06 04:57:15 [INFO] Watching metadata for mgt.pandaria.io/v3, Kind=SensitiveFilter
2021/05/06 04:57:15 [INFO] Watching metadata for /v1, Kind=Service
2021/05/06 04:57:15 [INFO] Watching metadata for rbac.authorization.k8s.io/v1, Kind=Role
2021/05/06 04:57:15 [INFO] Watching metadata for batch/v1, Kind=Job
2021/05/06 04:57:15 [INFO] Watching metadata for management.cattle.io/v3, Kind=Catalog
2021/05/06 04:57:15 [INFO] Watching metadata for project.cattle.io/v3, Kind=App
2021/05/06 04:57:15 [INFO] Watching metadata for management.cattle.io/v3, Kind=FleetWorkspace
2021/05/06 04:57:15 [INFO] Watching metadata for management.cattle.io/v3, Kind=ClusterTemplate
2021/05/06 04:57:15 [INFO] Watching metadata for management.cattle.io/v3, Kind=CisConfig
2021/05/06 04:57:15 [INFO] Watching metadata for management.cattle.io/v3, Kind=MultiClusterAppRevision
2021/05/06 04:57:15 [INFO] Watching metadata for networking.k8s.io/v1beta1, Kind=IngressClass
2021/05/06 04:57:15 [INFO] Watching metadata for /v1, Kind=LimitRange
2021/05/06 04:57:15 [INFO] Watching metadata for node.k8s.io/v1beta1, Kind=RuntimeClass
2021/05/06 04:57:15 [INFO] Watching metadata for policy/v1beta1, Kind=PodSecurityPolicy
2021/05/06 04:57:15 [INFO] Watching metadata for management.cattle.io/v3, Kind=ClusterLogging
2021/05/06 04:57:15 [INFO] Watching metadata for management.cattle.io/v3, Kind=ComposeConfig
2021/05/06 04:57:15 [INFO] Watching metadata for /v1, Kind=PersistentVolume
2021/05/06 04:57:15 [INFO] Watching metadata for management.cattle.io/v3, Kind=ProjectAlertGroup
2021/05/06 04:57:15 [INFO] Watching metadata for /v1, Kind=ServiceAccount
2021/05/06 04:57:15 [INFO] Watching metadata for scheduling.k8s.io/v1, Kind=PriorityClass
